cloth_name,cloth_link,cloth_image,cloth_pattern,cloth_type,codi_link
Bandana Zip Up Sweat Mid Black,https://www.musinsa.com/app/goods/2165155/0,https://image.msscdn.net/images/goods_img/20211006/2165155/2165155_1_500.jpg?t=20211006183746,None,후드 집업,https://www.musinsa.com/app/styles/views/23668?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
미니멀 무톤 자켓_블랙,https://www.musinsa.com/app/goods/2184430/0,https://image.msscdn.net/images/goods_img/20211018/2184430/2184430_2_500.jpg?t=20211025140941,None,무스탕/퍼,https://www.musinsa.com/app/styles/views/24086?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
SPC Dispatch cycle Coat (Navy),https://www.musinsa.com/app/goods/1863971/0,https://image.msscdn.net/images/goods_img/20210325/1863971/1863971_1_500.jpg?t=20210325160648,None,환절기 코트,https://www.musinsa.com/app/styles/views/23465?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
Ray Wind Parka Olive Grey,https://www.musinsa.com/app/goods/1584929/0,https://image.msscdn.net/images/goods_img/20200904/1584929/1584929_2_500.jpg?t=20210115141558,None,나일론/코치 재킷,https://www.musinsa.com/app/styles/views/18259?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
스트릿 데님 트러커 자켓 L/Blue,https://www.musinsa.com/app/goods/1555928/0,https://image.msscdn.net/images/goods_img/20200819/1555928/1555928_1_500.jpg?t=20201102092014,None,트러커 재킷,https://www.musinsa.com/app/styles/views/18259?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
스탠다드 후드 스웨트 집업 - 멜란지 그레이,https://www.musinsa.com/app/goods/640839/0,https://image.msscdn.net/images/goods_img/20170922/640839/640839_6_500.jpg?t=20211201175055,None,후드 집업,https://www.musinsa.com/app/styles/views/2928?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
MA-1 레귤러 배틀워시 Teal,https://www.musinsa.com/app/goods/1596990/0,https://image.msscdn.net/images/goods_img/20200911/1596990/1596990_9_500.jpg?t=20221124134030,None,블루종/MA-1,https://www.musinsa.com/app/styles/views/23659?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
웨이비 블루종 [브라운],https://www.musinsa.com/app/goods/2815475/0,https://image.msscdn.net/images/goods_img/20220923/2815475/2815475_1_500.jpg?t=20220926231421,None,블루종/MA-1,https://www.musinsa.com/app/styles/views/29740?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
캐시미어 블렌드 핸드메이드 사이드 슬릿 롱 코트 [반다이크 브라운],https://www.musinsa.com/app/goods/2124213/0,https://image.msscdn.net/images/goods_img/20210910/2124213/2124213_4_500.jpg?t=20220609140911,None,겨울 싱글 코트,https://www.musinsa.com/app/styles/views/24338?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
크링클 보머 재킷 [네이비],https://www.musinsa.com/app/goods/1595712/0,https://image.msscdn.net/images/goods_img/20200910/1595712/1595712_1_500.jpg?t=20200910172436,None,블루종/MA-1,https://www.musinsa.com/app/styles/views/22942?use_yn_360=&style_type=&brand=&model=&tag_no=&max_rt=&min_rt=&display_cnt=60&list_kind=big&sort=view_cnt&page=54
